feature_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,pvalue
log_sigma_3_0_mm_3D_firstorder_10Percentile,-60.3857¡À79.9058,-77.0809¡À83.5963,-60.3349¡À52.9743,-65.6649¡À84.3224,-62.1721¡À48.3113,-81.9498¡À40.5736,-22.8108¡À93.8602,0.012538134
log_sigma_5_0_mm_3D_glrlm_RunVariance,0.0064¡À0.0031,0.0071¡À0.0035,0.0066¡À0.0027,0.0057¡À0.0025,0.0065¡À0.0032,0.0056¡À0.0020,0.0054¡À0.0027,0.013890064
log_sigma_5_0_mm_3D_glrlm_LongRunEmphasis,1.0190¡À0.0092,1.0212¡À0.0106,1.0197¡À0.0080,1.0172¡À0.0077,1.0191¡À0.0090,1.0167¡À0.0061,1.0162¡À0.0081,0.014434744
wavelet_HLH_glrlm_RunVariance,0.0044¡À0.0025,0.0050¡À0.0032,0.0046¡À0.0018,0.0046¡À0.0015,0.0035¡À0.0017,0.0033¡À0.0010,0.0039¡À0.0018,0.014442785
log_sigma_2_0_mm_3D_glcm_Id,0.0612¡À0.0125,0.0641¡À0.0143,0.0602¡À0.0086,0.0667¡À0.0093,0.0608¡À0.0088,0.0485¡À0.0064,0.0590¡À0.0119,0.014731369
wavelet_HLH_glrlm_LongRunEmphasis,1.0133¡À0.0074,1.0151¡À0.0097,1.0137¡À0.0055,1.0136¡À0.0044,1.0102¡À0.0046,1.0100¡À0.0029,1.0117¡À0.0053,0.014753553
wavelet_HLL_glcm_Imc1,-0.8296¡À0.0564,-0.8144¡À0.0570,-0.8138¡À0.0548,-0.8788¡À0.0291,-0.8643¡À0.0310,-0.8289¡À0.0466,-0.8415¡À0.0583,0.014947811
wavelet_LLL_glcm_Imc1,-0.8627¡À0.0402,-0.8542¡À0.0399,-0.8460¡À0.0401,-0.8954¡À0.0221,-0.8806¡À0.0265,-0.8614¡À0.0338,-0.8734¡À0.0419,0.015024596
wavelet_HLL_gldm_DependenceVariance,0.0756¡À0.0524,0.0889¡À0.0654,0.0754¡À0.0395,0.0742¡À0.0263,0.0659¡À0.0405,0.0532¡À0.0221,0.0630¡À0.0468,0.015184862
log_sigma_2_0_mm_3D_glcm_Idm,0.0236¡À0.0072,0.0252¡À0.0083,0.0230¡À0.0042,0.0274¡À0.0059,0.0239¡À0.0051,0.0166¡À0.0039,0.0222¡À0.0067,0.015307168
